stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type
40118,183,"Les Paluds",43.2839082359,5.6028821418,0
40119,183B,"Les Paluds",43.283675261,5.6040383368,0
40120,184,"Les Passons",43.294524361,5.5804624042,0
40212,250,"Ravel Decroix",43.2905134443,5.5601190816,0
40579,250B,"Ravel Decroix",43.2905174961,5.5599838859,0
40580,370B,"Les Pégoulières",43.3817430016,5.579616454,0
40429,467,"Les Pénitents",43.2928734951,5.5719724315,0
40430,467B,"Les Pénitents",43.2926208403,5.5725983989,0
40121,185,"Les Platanes",43.3288783086,5.5983469719,0
40122,185B,"Les Platanes",43.3287477361,5.5982040302,0
40123,186,"Les Restanques",43.2809408582,5.5082284096,0
40124,186B,"Les Restanques",43.2809616315,5.5084388075,0
40911,187B,"Les Roquettes",43.3903523828,5.6045474754,0
40291,311,"Les Royantes",43.2883436139,5.5469724927,0
40292,311B,"Les Royantes",43.2884015177,5.5468403141,0
40320,337,"Les Sicardes",43.3608337657,5.6314133213,0
40321,337B,"Les Sicardes",43.3610002107,5.6315584828,0
40127,188,"Les Solans",43.3070983849,5.5735503789,0
40128,188B,"Les Solans",43.3072453637,5.5734478368,0
40581,189,"Les Termes",43.3854481345,5.5613533055,0
40582,189B,"Les Termes",43.3855457576,5.5604955854,0
40133,190,"Les Tourraques",43.3800027226,5.6734051522,0
40134,190B,"Les Tourraques",43.3800842889,5.6733852393,0
40283,306B,"Camoins Montée D'Eoures",43.3009114057,5.5107605037,0
40418,460,"Les Tuileries",43.3853920193,5.7108890155,0
40419,460B,"Les Tuileries",43.3854486407,5.7099427404,0
40386,390,"Longuelance",43.3133323912,5.5767841,0
40387,390B,"Longuelance",43.3132564012,5.5766196978,0
40413,458,"L'Oratoire",43.3866130948,5.6029900171,0
40839,223B,"Pont de Joux",43.3652808241,5.6138924387,0
40380,385,"Lot. de la Louve",43.3067408069,5.5605997329,0
40135,193,"L'Ouert",43.3450038683,5.5822830197,0
40136,193B,"L'Ouert",43.3453398534,5.5824745613,0
40137,197,"Marcel Pagnol",43.2956227232,5.5723613598,0
40138,197B,"Marcel Pagnol",43.2957524828,5.5722332396,0
40139,198,"Marcel Paul",43.3016044624,5.5741147389,0
40140,198B,"Marcel Paul",43.3016325064,5.5740793801,0
40073,15,"Camoins Thermal",43.301307055,5.5043549029,0
40085,15B,"Camoins Thermal",43.3012657115,5.5045373181,0
40508,85,"Marius Boyer",43.3960666565,5.5922679341,0
40509,85B,"Marius Boyer",43.3962230148,5.592153478,0
40431,468,"Médiathèque",43.2922740645,5.5736622733,0
40141,199,"Mistral",43.290782491,5.5947661071,0
40142,199B,"Mistral",43.290977728,5.5945555831,0
40219,256,"Montée de Lascours",43.3448726868,5.5937730079,0
40220,256B,"Montée de Lascours",43.3450587629,5.5923787408,0
40147,200,"Moulin de Redon",43.377273916,5.6819270173,0
40148,200B,"Moulin de Redon",43.3773906416,5.6813542899,0
40402,422,"Musée de la Légion",43.2935239178,5.5538860188,0
40403,422B,"Musée de la Légion",43.2936032502,5.5539397135,0
40149,201,"Napollon",43.3133826345,5.5784003637,0
40150,201B,"Napollon",43.3135521078,5.5784468888,0
40263,294,"Noël Robion",43.283520624,5.5237823587,0
40151,205,"OK Corral",43.2676289166,5.7275488623,0
40103,17,"Camp d'Aubert",43.365445859,5.6426255144,0
40114,17B,"Camp d'Aubert",43.365295029,5.6428510434,0
40154,208,"Pas de l'Avé",43.3770619068,5.6687456122,0
40155,208B,"Pas de l'Avé",43.3735615115,5.66996002,0
40156,209,"Pas de Trets",43.3844196474,5.602063429,0
40157,209B,"Pas de Trets",43.38596312,5.6009921811,0
40240,270,"Passage à Niveau",43.2985413071,5.5757888795,0
40241,270B,"Passage à Niveau",43.2988256431,5.575903434,0
40364,368,"Passage à niveau Roquevaire",43.3320433946,5.5948062264,0
40365,368B,"Passage à Niveau Roquevaire",43.3320710738,5.5947831581,0
40448,492,"Pastré",43.2963650098,5.5960311342,0
40449,492B,"Pastré",43.2963930214,5.5957002822,0
40159,210,"Pédéguien",43.3650916029,5.6321758259,0
40160,210B,"Pédéguien",43.3650497243,5.6320747967,0
40161,212,"Pic de Bertagne",43.2817760886,5.6164983953,0
40162,212B,"Pic de Bertagne",43.2819941773,5.6164246888,0
40682,249,"Santucci",43.3945253531,5.5977305516,0
40115,18,"Camp Major",43.288171047,5.5412999613,0
40131,18B,"Camp Major",43.2883000365,5.5411963679,0
40163,213,"Pin Vert",43.3014359557,5.5704480831,0
40164,213B,"Pin Vert",43.301375805,5.5706540246,0
40273,300,"Pinchon",43.2976355179,5.5971375871,0
40274,300B,"Pinchon",43.2973919597,5.5968651773,0
40167,215,"Place de l'Eglise",43.2811890836,5.5162675318,0
40168,215B,"Place de l'Eglise",43.2809323496,5.5161302221,0
40169,216,"Place des XV",43.2925163982,5.5673969707,0
40282,306,"Place du Monument",43.3011768561,5.5106028023,0
40170,218,"Plaine de Jouques",43.2815410505,5.6183067947,0
40171,218B,"Plaine de Jouques",43.2817946762,5.6182474367,0
40112,179,"Garlaban",43.2961602339,5.5733274172,0
40113,179B,"Garlaban",43.2961393189,5.5734247376,0
40184,222,"Pont de Garnière",43.3465012929,5.5979076157,0
40185,222B,"Pont de Garnière",43.346503529,5.5978338021,0
40186,223,"Pont de Joux",43.3653380547,5.6140806252,0
40187,224,"Pont de la Papeterie",43.3657356477,5.6157922561,0
40188,224B,"Pont de la Papeterie",43.3657891431,5.6158076442,0
40663,264,"Vallon des Gavots",43.281647995,5.565455847,0
40664,264B,"Vallon des Gavots",43.2816599245,5.5653580433,0
40189,225,"Pont de la Vede",43.35958729,5.6614309171,0
40190,225B,"Pont de la Vède",43.3595386,5.66155136,0
40191,226,"Pont de Lamagnon",43.2962313185,5.5820117747,0
40192,226B,"Pont de Lamagnon",43.2963953012,5.5825381782,0
40193,227,"Pont de l'Etoile",43.3268801396,5.5969151828,0
40194,227B,"Pont de l'Etoile",43.3268801396,5.5969151828,0
40293,312,"Poteries",43.2692097807,5.6471020926,0
40294,312B,"Poteries",43.2697729151,5.6466299641,0
40172,219,"Quartier de Jouques",43.2804496389,5.6210632594,0
40173,219B,"Quartier de Jouques",43.2807847858,5.6212793887,0
40132,19,"Central Parc",43.2888983006,5.5722777185,0
40143,19B,"Central Parc",43.288830174,5.5721507685,0
40427,466,"Quartier des Vaux",43.2856148508,5.5812637709,0
40428,466B,"Quartier des Vaux",43.2856021652,5.5813861568,0
40196,233,"Raymond Reynaud",43.3495638283,5.5998318411,0
40197,233B,"Raymond Reynaud",43.3496113586,5.6000440568,0
40299,316,"Résidence Le Mermoz",43.2871008982,5.5734320687,0
40300,316B,"Résidence Le Mermoz",43.2869518028,5.5739037715,0
40594,357B,"Revers du Jas",43.3780704997,5.5874725641,0
40315,331,"Robespierre",43.2870217255,5.5841131898,0
40316,331B,"Robespierre",43.2872154568,5.583951802,0
40399,412,"Centre Ville",43.3489064183,5.6028261326,0
40198,236,"Rose des Vents",43.2999702132,5.5722371056,0
40199,236B,"Rose des Vents",43.3000270394,5.5721418031,0
40200,238,"Route de Gemenos",43.2962555171,5.5776298683,0
40201,238B,"Route de Gemenos",43.296176756,5.5769605432,0
40146,20,"Centre Commercial",43.296076667,5.5915945259,0
40158,20B,"Centre Commercial",43.2964062474,5.5916994084,0
40235,266,"Salengro",43.2960421629,5.5685804582,0
40236,266B,"Salengro",43.2957679057,5.5684295763,0
40344,351,"S. Techniques",43.3971253101,5.6003824228,0
40214,251,"Sces Techniques Saint Zacharie",43.3826304503,5.7011198062,0
40333,344B,"Seignadone",43.2961321151,5.5436406209,0
40952,344,"Seignadone",43.2961205716,5.5437261619,0
40215,253,"Soeurs Gastine",43.2896670551,5.5664486686,0
40216,253B,"Soeurs Gastine",43.2897586806,5.5663922693,0
40218,254B,"Souque Nègre",43.3882652026,5.5992241326,0
40217,254,"Souque Nègre",43.388612728,5.5990342676,0
40204,242,"Saint Barthélémy",43.3754174078,5.6265676592,0
40322,338,"Saint Eloi",43.3645931005,5.6393464887,0
40323,338B,"Saint Eloi",43.3645081446,5.6394771975,0
40619,288,"Hameau du Vallon",43.2768914797,5.5546278015,0
40620,288B,"Hameau du Vallon",43.2770153327,5.5546962857,0
40206,244B,"St Esteve",43.3385215149,5.6015446364,0
40174,22,"Centre des Impôts",43.3019040975,5.5764096884,0
40195,22B,"Centre des Impôts",43.3019573179,5.5767328513,0
40684,29,"Chemin de Langlade",43.3075009094,5.5870456813,0
40205,244,"Saint Estève",43.3384886105,5.6017399115,0
40053,134,"Saint Martin",43.2826527233,5.6104551009,0
40054,134B,"St Martin",43.2827765417,5.6102282753,0
40207,246,"Saint Philippe",43.280314596,5.5387688446,0
40208,246B,"St Philippe",43.2805678367,5.5393245648,0
40221,257,"Saint Roch",43.3463379408,5.6035917614,0
40222,257B,"St Roch",43.3462066267,5.6034733686,0
40210,247B,"St Sébastien",43.2755584436,5.6981433048,0
40209,247,"Saint Sébastien",43.2753424618,5.6978598621,0
40223,258,"Saint Zacharie Centre Ville",43.3844706838,5.7067034166,0
40224,258B,"St Zacharie Centre Ville",43.3841545261,5.7067464835,0
40275,302,"Saint Zacharie ZI",43.3877493029,5.7200433489,0
40225,260,"Sainte Madeleine",43.3539451336,5.6272705521,0
40226,260B,"Sainte Madeleine",43.3540748706,5.6277340345,0
40685,29B,"Chemin de Langlade",43.3074983093,5.5871317392,0
40248,28,"Château Blanc",43.2807332755,5.5512612352,0
40259,28B,"Château Blanc",43.2812831801,5.5506150265,0
40227,261,"Tennis",43.3145765326,5.594553233,0
40228,261B,"Tennis",43.3145301531,5.5945998655,0
40229,262,"Val Pré",43.299248297,5.5693274358,0
40230,262B,"Val Pré",43.2992763395,5.5692920761,0
40231,263,"Valcros",43.341974882,5.6033308659,0
40232,263B,"Valcros",43.3418349631,5.60319967,0
40407,454,"Vallat",43.2897645794,5.5971952003,0
40408,454B,"Vallat",43.2897474043,5.5974650729,0
40233,265,"Vallon du Roy",43.276932498,5.5224442577,0
40234,265B,"Vallon du Roy",43.2768203919,5.5225857327,0
40251,281,"Vienot",43.2910788757,5.5544507009,0
40252,281B,"Vienot",43.2911169943,5.5543789703,0
40069,146,"Le Village",43.283756588,5.5448818015,0
